Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,BetaLow1,BetaLow2,BetaLow3,BetaLow4,BetaLow5,BetaLow6,BetaLow7,BetaLow8,BetaMid1,BetaMid2,BetaMid3,BetaMid4,BetaMid5,BetaMid6,BetaMid7,BetaMid8,BetaHigh1,BetaHigh2,BetaHigh3,BetaHigh4,BetaHigh5,BetaHigh6,BetaHigh7,BetaHigh8,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Delta_Avg,Theta_Avg,Alpha_Avg,BetaLow_Avg,BetaMid_Avg,BetaHigh_Avg,Gamma_Avg,Delta_Bipolar_Avg,Theta_Bipolar_Avg,Alpha_Bipolar_Avg,BetaLow_Bipolar_Avg,BetaMid_Bipolar_Avg,BetaHigh_Bipolar_Avg,Gamma_Bipolar_Avg,Label
13.005,13.145,12.528,11.112,12.238,12.111,12.597,11.322,10.175,9.15,10.048,8.384,10.221,11.47,11.582,9.966,10.409,9.104,9.328,9.375,8.118,6.631,6.922,5.217,9.328,10.2,9.993,8.584,8.538,9.295,7.89,6.249,7.177,6.416,5.278,3.859,5.198,7.724,6.138,2.483,9.784,10.761,9.987,8.669,9.85,10.85,10.765,9.073,8.514,8.83,8.98,7.682,8.355,9.467,9.275,7.831,12.257,10.124,8.138,8.759,5.534,9.967,8.617,11.973,11.242,7.873,6.801,2.285,6.871,3.844,relaxed
13.049,12.441,12.156,11.396,12.115,11.821,12.642,11.367,9.874,8.197,8.953,7.03,9.799,11.828,11.55,9.995,10.489,9.203,9.52,9.533,8.491,7.096,7.197,5.511,9.337,10.201,10.001,8.613,8.581,9.45,8.076,6.535,7.395,6.58,5.561,4.212,5.391,7.718,6.123,2.767,9.919,10.717,10.104,8.657,9.726,10.724,10.595,9.012,8.405,8.663,8.878,7.646,8.178,9.297,9.071,7.586,12.123,9.653,8.38,8.849,5.719,9.932,8.465,11.877,10.694,8.008,7.011,2.37,6.798,3.833,relaxed
13.495,11.763,12.143,12.114,12.09,11.663,12.702,11.402,9.812,7.502,8.484,6.668,9.354,11.948,11.568,9.989,10.524,9.188,9.538,9.548,8.454,7.273,7.28,5.426,9.472,10.229,10.127,8.791,8.722,9.599,8.294,6.858,7.525,6.668,5.776,4.411,5.362,7.561,5.944,2.857,9.915,10.635,10.125,8.546,9.482,10.469,10.224,8.62,8.18,8.498,8.709,7.552,8.034,9.091,8.908,7.473,12.172,9.416,8.404,9.012,5.763,9.752,8.306,11.985,10.334,8.206,7.317,2.392,6.602,3.883,relaxed
13.924,11.515,12.372,12.597,12.191,11.481,12.71,11.408,10.3,7.891,8.719,7.377,9.435,12.289,11.636,10.04,10.698,9.403,9.688,9.678,8.598,7.841,7.676,5.513,9.845,10.419,10.475,9.226,9.044,9.707,8.517,7.231,7.588,6.667,5.884,4.496,5.246,7.305,5.741,2.606,9.954,10.625,10.146,8.582,9.374,10.196,9.841,8.36,8.102,8.412,8.607,7.503,7.967,8.88,8.652,7.282,12.275,9.711,8.637,9.308,5.692,9.635,8.176,12.137,10.422,8.394,7.701,2.315,6.306,3.919,relaxed
14.354,11.789,12.539,12.682,12.34,11.562,12.733,11.355,10.487,8.287,8.663,7.205,9.269,12.383,11.724,9.893,10.859,9.632,9.861,9.823,8.76,8.001,7.754,5.523,10.283,10.726,10.952,9.817,9.507,9.742,8.717,7.578,7.629,6.642,5.938,4.595,5.009,6.978,5.589,2.392,9.982,10.698,10.172,8.696,9.502,10.37,9.95,8.386,8.112,8.492,8.674,7.49,8.118,9.113,8.755,7.314,12.419,9.739,8.777,9.665,5.597,9.72,8.259,12.168,10.47,8.394,7.978,2.334,6.301,4.06,relaxed
14.73,12.674,12.544,12.549,12.599,12.332,13.05,11.354,10.849,9.348,9.243,7.548,9.562,12.642,11.84,10.054,10.965,9.758,9.971,10.013,8.915,7.902,7.792,5.73,10.698,11.019,11.42,10.394,9.971,9.733,8.923,7.924,7.485,6.504,5.767,4.59,4.65,6.701,5.467,2.196,10.046,10.738,10.07,8.723,9.49,10.554,10.013,8.331,8.309,8.622,8.732,7.492,8.253,9.258,8.978,7.508,12.729,10.136,8.881,10.01,5.42,9.746,8.394,12.455,10.572,8.398,8.139,2.304,6.404,4.088,relaxed
15.106,14.161,12.977,12.28,13.286,13.083,13.944,11.905,11.079,9.945,9.492,8.307,9.575,12.795,11.743,9.902,10.87,9.667,10.07,10.224,9.059,7.919,7.882,6.071,10.973,11.268,11.763,10.86,10.356,9.827,9.133,8.218,7.247,6.116,5.417,4.412,3.846,6.157,4.992,1.571,10.269,10.82,10.113,8.725,9.581,10.686,10.141,8.362,8.156,8.331,8.48,7.27,8.018,9.086,8.797,7.297,13.343,10.355,8.97,10.3,4.97,9.837,8.179,12.975,10.926,8.315,8.214,2.198,6.59,4.026,relaxed
15.214,15.103,13.581,12.157,14.096,13.407,14.965,12.868,11.932,11.438,10.54,8.804,10.194,12.855,11.884,10.128,10.604,9.523,10.051,10.299,9.018,8.038,7.925,6.18,11.228,11.507,12.049,11.255,10.7,10.145,9.527,8.574,7.328,6.051,5.428,4.545,3.444,6.029,4.737,1.257,10.835,10.978,10.557,8.871,9.846,10.671,10.348,8.653,8.175,8.289,8.546,7.216,8.06,9.061,8.804,7.305,13.924,10.972,8.955,10.623,4.852,10.095,8.182,13.452,11.376,8.389,8.321,2.272,6.698,4.006,relaxed
15.222,15.243,13.696,12.157,14.266,13.356,15.117,13.138,11.998,11.651,10.941,9.431,10.804,12.986,12.842,11.177,10.214,9.338,9.877,10.289,8.773,8.441,8.155,6.04,11.365,11.613,12.191,11.467,10.862,10.528,10.097,8.909,7.693,6.406,5.88,4.841,3.957,6.33,5.026,1.64,11.261,10.978,10.99,9.104,10.062,10.356,10.358,8.978,7.765,7.935,8.298,7.204,7.878,9.02,8.79,7.389,14.024,11.479,8.891,10.879,5.222,10.261,8.035,13.533,11.835,8.662,8.472,2.457,6.756,3.999,relaxed
15.521,15.696,14.092,12.376,14.591,14.24,15.639,13.47,11.811,11.651,10.688,9.292,10.785,13.005,13.14,11.357,10.119,9.229,9.828,10.38,8.57,9.082,9.155,6.16,11.312,11.517,12.155,11.527,10.807,10.673,10.464,9.108,8.221,6.891,6.596,5.159,4.59,6.54,5.39,2.058,11.443,10.992,11.103,9.147,10.094,10.255,10.317,9.027,7.725,7.993,8.274,7.203,7.934,9.053,8.814,7.407,14.453,11.466,9.065,10.946,5.68,10.297,8.05,13.722,11.976,9.297,8.536,2.715,6.909,3.974,relaxed
